SNAP,1210528,1345,DAILY,2.00,0.1350,0.1035,179,590.00,580.00,5480400,5301400,301400
SNAP,1210531,1345,DAILY,2.00,0.1350,0.1035,179,597.00,580.00,5605700,5301400,301400
REBAL,1210601,1345,EXTRA,2.00,0.1350,0.1035,187,598.00,580.00,5623600,5623600,623600
SNAP,1210601,1345,DAILY,2.00,0.1350,0.1035,0,598.00,0.00,5623600,5623600,623600
SNAP,1210602,1345,DAILY,2.00,0.1350,0.1035,187,595.00,600.00,5530100,5623600,623600
SNAP,1210603,1345,DAILY,2.00,0.1350,0.1035,187,596.00,600.00,5548800,5623600,623600
SNAP,1210604,1345,DAILY,2.00,0.1350,0.1035,187,595.00,600.00,5530100,5623600,623600
SNAP,1210607,1345,DAILY,2.00,0.1350,0.1035,187,592.00,600.00,5474000,5623600,623600
SNAP,1210608,1345,DAILY,2.00,0.1350,0.1035,187,589.00,600.00,5417900,5623600,623600
SNAP,1210609,1345,DAILY,2.00,0.1350,0.1035,187,586.00,600.00,5361800,5623600,623600
SNAP,1210610,1345,DAILY,2.00,0.1350,0.1035,187,599.00,600.00,5604900,5623600,623600
SNAP,1210611,1345,DAILY,2.00,0.1350,0.1035,187,602.00,600.00,5661000,5623600,623600
SNAP,1210615,1345,DAILY,2.00,0.1350,0.1035,187,609.00,600.00,5791900,5623600,623600
SNAP,1210616,1345,DAILY,2.00,0.1350,0.1035,187,605.00,600.00,5717100,5623600,623600
REBAL,1210617,1345,FLAT,2.00,0.1350,0.1035,187,606.00,600.00,5735800,5623600,623600
SNAP,1210617,1345,DAILY,2.00,0.1350,0.1035,187,606.00,600.00,5735800,5623600,623600
SNAP,1210618,1345,DAILY,2.00,0.1350,0.1035,187,603.00,600.00,5679700,5623600,623600
SNAP,1210621,1345,DAILY,2.00,0.1350,0.1035,187,583.00,600.00,5305700,5623600,623600
REBAL,1210622,1345,EXTRA,2.00,0.1350,0.1035,182,585.00,600.00,5343100,5343100,343100
SNAP,1210622,1345,DAILY,2.00,0.1350,0.1035,0,578.00,0.00,5343100,5343100,343100
SNAP,1210623,1345,DAILY,2.00,0.1350,0.1035,182,595.00,583.00,5561500,5343100,343100
SNAP,1210624,1345,DAILY,2.00,0.1350,0.1035,182,590.00,583.00,5470500,5343100,343100
SNAP,1210625,1345,DAILY,2.00,0.1350,0.1035,182,591.00,583.00,5488700,5343100,343100
SNAP,1210628,1345,DAILY,2.00,0.1350,0.1035,182,590.00,583.00,5470500,5343100,343100
SNAP,1210629,1345,DAILY,2.00,0.1350,0.1035,182,595.00,583.00,5561500,5343100,343100
SNAP,1210630,1345,DAILY,2.00,0.1350,0.1035,182,595.00,583.00,5561500,5343100,343100
SNAP,1210701,1345,DAILY,2.00,0.1350,0.1035,182,593.00,583.00,5525100,5343100,343100
SNAP,1210702,1345,DAILY,2.00,0.1350,0.1035,182,588.00,583.00,5434100,5343100,343100
SNAP,1210705,1345,DAILY,2.00,0.1350,0.1035,182,591.00,583.00,5488700,5343100,343100
SNAP,1210706,1345,DAILY,2.00,0.1350,0.1035,182,592.00,583.00,5506900,5343100,343100
SNAP,1210707,1345,DAILY,2.00,0.1350,0.1035,182,594.00,583.00,5543300,5343100,343100
SNAP,1210708,1345,DAILY,2.00,0.1350,0.1035,182,588.00,583.00,5434100,5343100,343100
SNAP,1210709,1345,DAILY,2.00,0.1350,0.1035,182,584.00,583.00,5361300,5343100,343100
SNAP,1210712,1345,DAILY,2.00,0.1350,0.1035,182,593.00,583.00,5525100,5343100,343100
SNAP,1210713,1345,DAILY,2.00,0.1350,0.1035,182,607.00,583.00,5779900,5343100,343100
REBAL,1210714,1345,EXTRA,2.00,0.1350,0.1035,190,613.00,583.00,5889100,5889100,889100
SNAP,1210714,1345,DAILY,2.00,0.1350,0.1035,0,613.00,0.00,5889100,5889100,889100
SNAP,1210715,1345,DAILY,2.00,0.1350,0.1035,190,614.00,613.00,5908100,5889100,889100
SNAP,1210716,1345,DAILY,2.00,0.1350,0.1035,190,589.00,613.00,5433100,5889100,889100
REBAL,1210719,1345,EXTRA,2.00,0.1350,0.1035,184,583.00,613.00,5319100,5319100,319100
SNAP,1210719,1345,DAILY,2.00,0.1350,0.1035,0,582.00,0.00,5319100,5319100,319100
